pull_request,commit_count,time_difference
5ff42c33f2e9784f2ebb4c08,4,0 days 00:13:12
5ff42c33f2e9784f2ebb4c08,3,0 days 00:13:12
5ff42c33f2e9784f2ebb4c08,2,0 days 00:13:12
5ff42c33f2e9784f2ebb4c08,1,0 days 00:13:12
5ff42d70f2e9784f2ebb5aa0,2,178 days 19:02:50
5ff42d70f2e9784f2ebb5aa0,1,178 days 19:02:50
5ff42db8f2e9784f2ebb5eb8,4,0 days 22:21:46
5ff42db8f2e9784f2ebb5eb8,3,0 days 22:21:46
5ff42db8f2e9784f2ebb5eb8,2,0 days 22:21:46
5ff42db8f2e9784f2ebb5eb8,1,0 days 22:21:46
5ff42dd0f2e9784f2ebb6054,4,263 days 08:23:58
5ff42dd0f2e9784f2ebb6054,3,263 days 08:23:58
5ff42dd0f2e9784f2ebb6054,2,263 days 08:23:58
5ff42dd0f2e9784f2ebb6054,1,263 days 08:23:58
5ff42e48f2e9784f2ebb657d,2,0 days 00:14:35
5ff42e48f2e9784f2ebb657d,1,0 days 00:14:35
5ff42fcaf2e9784f2ebb7603,4,753 days 14:37:24
5ff42fcaf2e9784f2ebb7603,3,753 days 14:37:24
5ff42fcaf2e9784f2ebb7603,2,753 days 14:37:24
5ff42fcaf2e9784f2ebb7603,1,753 days 14:37:24
